date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:56:46	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2003%20Oct%202023%2021:56:45%20GMT	https://sso.uib.es/cas/clientredirect?client_name=ssoDAazure_MFA&service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F&locale=en	sso.uib.es/cas/clientredirect.95208.delayed	(from https://sso.uib.es/cas/login?service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F)
23:56:48	24302/24302	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/js/jquery.utils.uib-min.js?timestamp=2021.11	sso.uib.es/cas/js/jquery.utils.uib-minbc72.js	(from https://sso.uib.es/cas/login?service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F)
23:56:54	3276/3276	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/js/jquery.sticky-kit.min.js?timestamp=2021.11	sso.uib.es/cas/js/jquery.sticky-kit.minbc72.js	(from https://sso.uib.es/cas/login?service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F)
23:56:55	22494/22494	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/webjars/css-vars-ponyfill/2.3.1/dist/css-vars-ponyfill.min.js	sso.uib.es/cas/webjars/css-vars-ponyfill/2.3.1/dist/css-vars-ponyfill.min.js	(from https://sso.uib.es/cas/login?service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F)
23:56:56	1200645/1200645	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/webjars/material-components-web/10.0.0/dist/material-components-web.js	sso.uib.es/cas/webjars/material-components-web/10.0.0/dist/material-components-web.js	(from https://sso.uib.es/cas/login?service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F)
23:56:57	6485/6485	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/js/cas.js	sso.uib.es/cas/js/cas.js	(from https://sso.uib.es/cas/login?service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F)
23:57:03	84557/84557	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/webjars/es5-shim/4.5.9/es5-shim.js	sso.uib.es/cas/webjars/es5-shim/4.5.9/es5-shim.js	(from https://sso.uib.es/cas/login?service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F)
23:57:04	326347/326347	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/webjars/mdi__font/5.8.55/css/materialdesignicons.css	sso.uib.es/cas/webjars/mdi__font/5.8.55/css/materialdesignicons.css	(from https://sso.uib.es/cas/login?service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F)
23:57:04	2315/2315	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/css/uib-theme/dircom_printer-min.css	sso.uib.es/cas/css/uib-theme/dircom_printer-min.css	(from https://sso.uib.es/cas/login?service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F)
23:57:06	708/708	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/css/uib-theme/estils-sso.css	sso.uib.es/cas/css/uib-theme/estils-sso.css	(from https://sso.uib.es/cas/css/cas.css)
